m	dofm	dofy	hi	Ta	G_Gh	Td	RH	G_Dh	FF	DD	Lin	RR	Sd	N	hs	TL	G_Bn	G_Gc	G_Dc	Gex	G_Ghmod	PAR	Snd	Lup
-	-	-	-	[°C]	[W/m2]	[°C]	[%]	[W/m2]	[m/s]	[°]	[W/m2]	[mm]	[min]	[octas]	[°]	[-]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[mm]	[W/m2]
1	1	1	1	16.3	0	8.9	61.4	0	2.0	173	320	0.0	0.0	0.0	-73.44	2.84	0	0	0	0.0	0.0	0	0	382
1	1	1	2	15.6	0	8.9	64.2	0	1.6	297	319	0.0	0.0	0.0	-75.70	2.84	0	0	0	0.0	0.0	0	0	376
1	1	1	3	14.9	0	8.3	64.6	0	1.6	294	316	0.0	0.0	0.0	-68.35	2.84	0	0	0	0.0	0.0	0	0	373
1	1	1	4	14.6	0	8.1	65.0	0	2.0	310	314	0.0	0.0	0.0	-57.41	2.84	0	0	0	0.0	0.0	0	0	372
1	1	1	5	14.2	0	7.8	65.4	0	1.5	308	312	0.0	0.0	0.0	-45.58	2.84	0	0	0	0.0	0.0	0	0	368
1	1	1	6	13.7	0	8.0	68.2	0	1.8	297	313	0.0	0.0	0.0	-33.59	2.84	0	0	0	0.0	0.0	0	0	367
1	1	1	7	13.4	0	7.6	68.0	0	1.3	321	311	0.0	0.0	0.0	-21.75	2.84	0	0	0	0.0	0.0	0	0	364
1	1	1	8	13.1	0	7.3	67.7	0	2.1	282	309	0.0	0.0	0.0	-10.29	2.84	0	0	0	0.0	0.0	0	0	365
1	1	1	9	13.1	5	7.6	68.9	5	2.0	169	310	0.0	22.9	0.0	2.81	2.84	0	19	11	18.7	15.0	2	0	378
1	1	1	10	14.6	143	7.9	64.4	50	4.2	343	314	0.0	41.3	0.0	10.42	2.84	516	143	45	255.3	122.7	61	0	392
1	1	1	11	15.7	278	7.1	56.2	76	4.0	140	309	0.0	48.9	0.0	18.90	2.84	626	300	67	457.3	256.8	119	0	405
1	1	1	12	17.0	412	6.6	50.3	66	4.2	181	305	0.0	57.1	0.0	25.41	2.84	808	427	80	605.6	365.2	175	0	418
1	1	1	13	17.9	465	6.7	47.7	87	4.6	145	307	0.0	56.5	0.0	29.26	2.84	772	501	86	690.0	429.1	197	0	425
